Application,Baseline,Selectively-managed (30Hz),Selectively-managed (250Hz),Exhaustively-managed (30Hz),Exhaustively-managed (250Hz)
airtable,1,1.01652382737316,1.08156385463374,1.01950630852168,1.10686338007487
amazon-echo,1,0.98817577152335,1.00996228707177,1.05772930646613,1.29222099576254
aws,1,1.03655359588962,1.03969618229949,1.0431091147872,1.18352068796331
blink,1,1.00732739848736,1.04978207726666,1.00994557610244,1.0497035350948
dialogflow,1,1.06868703522617,1.07173292435698,1.06740476912465,1.37615252331607
ffmpeg,1,1.01703094132694,1.06566639735727,1.01701467914548,1.0719819372247
file,1,1.03427307332255,1.22032934749318,1.05292989867126,1.23393856362467
file-operation,1,1.03088401695815,1.13521165725212,1.02919480037147,1.14720570153259
google-actions,1,1.02978589494173,1.12665566008984,1.02798095018291,1.16792134354157
google-maps,1,1.00953832140047,1.00843547475538,1.01231430598197,1.06596650269348
help,1,1.05695880214028,1.55606496005767,1.10305536575322,1.63963152578304
iadvize,1,1.01314703417658,1.05389500633026,1.01488860384154,1.07710458548933
inbenta,1,1.0240146691996,1.1312678217352,1.03047023989263,1.15909486374297
jimp,1,1.00492891800509,1.01501815201971,1.00740840634225,1.02407067996871
lgtv,1,1.0181297507941,0.985808136990525,1.02528704198883,1.13940327792168
modbus,1,1.15784372404147,1.34133097230932,1.68036654811064,1.83884821262864
ms-graph,1,1.10550701828249,1.67995165442238,1.12279373674327,1.71103360949175
ms-language,1,1.06829601332734,1.39059260208336,1.07102251776416,1.41762001321901
ms-search,1,1.03818264709684,1.22444945878804,1.05488307709228,1.29183480118147
ms-speech,1,1.00691336142867,1.03040981471533,1.0062187728156,1.04569324777537
ms-vision,1,1.0348626792136,1.16857004124852,1.0483575778441,1.27883340490355
nlp-js,1,1.00352476979236,1.02491541395808,2.53803399982206,10.8021750112753
onvif-nodes,1,0.989415924932341,0.999130019911849,1.00396898179655,1.02235209962601
soap,1,1.02213932214044,1.08402831488596,1.03035998640967,1.14622484013227
sox,1,1.01463375183649,1.0526125626987,1.01745635664177,1.07910698419733
trello,1,1.0162622236823,1.07276963840244,1.02894511473944,1.15109070336491
watson,1,1.00501557358178,1.02060153525718,1.03987765674803,1.44013085143581
